Date,Coin Name,Price,Change,Market Cap,Volume
2025-03-05,Tether,0.999977,0.00816,142714866875,71900212952
2025-03-05,Bitcoin,90893,2.52325,1804442450014,46234042178
2025-03-05,Ethereum,2258.05,2.98655,272657008595,19499911990
2025-03-05,First Digital USD,1.0,0.36353,2101235896,7817281469
2025-03-05,USDC,0.999874,-0.00223,57217170442,6883809994
2025-03-05,XRP,2.62,6.90073,151673364655,5367477379
2025-03-05,Solana,148.99,5.15854,75704587069,4815863562
2025-03-05,Cardano,0.931851,-1.19169,33486717642,2526933197
2025-03-05,WETH,2263.83,3.21726,6647204957,1810344539
2025-03-05,Sui,2.94,18.36006,9365241740,1659859229
2025-03-05,Dogecoin,0.206733,3.45349,30685094346,1642922640
2025-03-05,Chainlink,17.26,9.62815,11032986050,1220210756
2025-03-05,RED TOKEN,0.767358,53129541.39218,0.0,1046585404
2025-03-05,Wrapped SOL,149.12,5.33904,0.0,1013536683
2025-03-05,Official Trump,13.38,3.78764,2682619202,964895053
2025-03-05,Litecoin,105.42,3.46998,7988253814,933818865
2025-03-05,BNB,599.91,1.26166,87501528658,802354641
2025-03-05,Ethena,0.401582,8.965,2132591383,752584463
2025-03-05,Bitcoin Cash,391.95,1.04237,7775212827,681461828
2025-03-05,TRON,0.241666,-0.6942,20814635396,659561592
2025-03-04,Tether,0.999978,0.0082,142714866875,71963469760
2025-03-04,Bitcoin,90881,2.50994,1804442450014,45852688630
2025-03-04,Ethereum,2258.34,2.99978,272657008595,19503491953
2025-03-04,First Digital USD,1.0,0.35524,2101235896,7816634436
2025-03-04,USDC,0.999875,-0.00219,57217170442,6911908373
2025-03-04,XRP,2.62,6.95656,151673364655,5370055766
2025-03-04,Solana,149.08,5.22578,75704587069,4817978689
2025-03-04,Cardano,0.931904,-1.18602,33486717642,2526508358
2025-03-04,Sui,2.94,18.38602,9365241740,1660842967
2025-03-04,Dogecoin,0.206777,3.47533,30685094346,1643457788
2025-03-04,WETH,2257.98,2.95068,6647204957,1554483999
2025-03-04,Chainlink,17.26,9.61699,11032986050,1219999154
2025-03-04,RED TOKEN,0.766978,53103208.63055,0.0,1046066563
2025-03-04,Wrapped SOL,149.18,5.37621,0.0,1008849833
2025-03-04,Official Trump,13.39,3.81097,2682619202,965037278
2025-03-04,Litecoin,105.45,3.501,7988253814,949676372
2025-03-04,BNB,599.93,1.26528,87501528658,802860292
2025-03-04,Ethena,0.401702,8.99761,2122647536,752430007
2025-03-04,Bitcoin Cash,391.94,1.03952,7775212827,680663395
2025-03-04,TRON,0.241725,-0.66992,20814635396,659621801
2025-03-03,Bitcoin,90690,2.29463,1804442450014,46448676882
2025-03-03,Tether,0.99998,0.00847,142714866875,30724832874
2025-03-03,Ethereum,2254.02,2.80285,272657008595,19477025690
2025-03-03,First Digital USD,1.0,0.35404,2101235896,7816490271
2025-03-03,USDC,0.999881,-0.00157,57217170442,7477330024
2025-03-03,XRP,2.61,6.7908,151673364655,5367782957
2025-03-03,Solana,148.8,5.02596,75704587069,4810201568
2025-03-03,Cardano,0.929912,-1.39726,33486717642,2520947282
2025-03-03,WETH,2254.26,2.7811,6647204957,1825560861
2025-03-03,Sui,2.94,18.1968,9365241740,1659096487
2025-03-03,Dogecoin,0.206362,3.26751,30685094346,1640608332
2025-03-03,Chainlink,17.23,9.41093,11032986050,1218303386
2025-03-03,RED TOKEN,0.764278,52916256.85516,0.0,1042375715
2025-03-03,Wrapped SOL,148.94,5.21211,0.0,1010026769
2025-03-03,Official Trump,13.37,3.63867,2677908114,963382457
2025-03-03,Litecoin,105.2,3.25057,7988253814,948094852
2025-03-03,BNB,598.91,1.09271,87501528658,801797763
2025-03-03,Ethena,0.401036,8.81697,2122647536,747113526
2025-03-03,Bitcoin Cash,391.19,0.73879,7775212827,679961108
2025-03-03,TRON,0.241314,-0.83879,20814635396,658398855
2025-03-02,Bitcoin,90696,2.66985,1798830358492,47854766864
2025-03-02,Tether,0.99998,0.00847,142715594280,32792106348
2025-03-02,Ethereum,2253.63,2.78494,271806201417,19473609807
2025-03-02,First Digital USD,1.0,0.34437,2101235896,7816494970
2025-03-02,USDC,0.999886,-0.00109,57217170442,7525983615
2025-03-02,XRP,2.61,6.93202,151417320952,5367773949
2025-03-02,Solana,148.77,5.00454,75704587069,4810487401
2025-03-02,Cardano,0.929689,-1.42091,33486717642,2521373490
2025-03-02,WETH,2254.02,3.1428,6630906182,1828122690
2025-03-02,Sui,2.94,18.39849,9317780839,1657290717
2025-03-02,Dogecoin,0.206328,3.48005,30601023954,1640920397
2025-03-02,Chainlink,17.23,9.64625,10993578221,1218263700
2025-03-02,RED TOKEN,0.762556,52623338.58352,0.0,1040425666
2025-03-02,Wrapped SOL,148.94,5.21211,0.0,1010026769
2025-03-02,Official Trump,13.36,3.90956,2677908114,963327165
2025-03-02,Litecoin,105.19,3.30647,7952885518,951024542
2025-03-02,BNB,598.83,1.07966,87501528658,801925974
2025-03-02,Ethena,0.401063,9.30277,2122647536,750967080
2025-03-02,Bitcoin Cash,391.08,0.70956,7775212827,679634486
2025-03-02,TRON,0.241326,-0.83389,20766546105,658824345
2025-03-01,Bitcoin,90682,2.65438,1798830358492,47812406616
2025-03-01,Tether,0.99998,0.00844,142715594280,40097966088
2025-03-01,Ethereum,2253.17,3.13188,271806201417,19994069286
2025-03-01,First Digital USD,1.0,0.34688,2104696151,7816124309
2025-03-01,USDC,0.999885,0.0007,57217911156,7316115703
2025-03-01,XRP,2.61,6.94738,151417320952,5375269155
2025-03-01,Solana,148.72,5.1669,75704587069,4809327295
2025-03-01,Cardano,0.929584,-1.11416,33486717642,2522154769
2025-03-01,Sui,2.93,18.24339,9317780839,1660583287
2025-03-01,Dogecoin,0.206282,3.45661,30601023954,1640340425
2025-03-01,WETH,2253.37,3.11314,6630906182,1515033646
2025-03-01,Chainlink,17.22,9.62272,10993578221,1226258623
2025-03-01,RED TOKEN,0.762556,52623338.58352,0.0,1040425666
2025-03-01,Wrapped SOL,148.96,5.26357,0.0,1010032604
2025-03-01,Official Trump,13.36,3.87937,2677908114,963870043
2025-03-01,Litecoin,105.17,3.2895,7952885518,949683532
2025-03-01,BNB,598.72,1.43134,87501528658,801536162
2025-03-01,Ethena,0.40092,9.26367,2122647536,747214343
2025-03-01,Bitcoin Cash,390.95,0.67755,7775212827,679300031
2025-03-01,TRON,0.241297,-0.56196,20766546105,657754119
2025-02-28,Bitcoin,90679,2.65048,1798830358492,47761199737
